asm_misc_Virtual,asm_misc_Offset,asm_misc_loc,asm_misc_Import,asm_misc_Imports,asm_misc_var,asm_misc_Forwarder,asm_misc_UINT,asm_misc_LONG,asm_misc_BOOL,asm_misc_WORD,asm_misc_BYTES,asm_misc_large,asm_misc_short,asm_misc_dd,asm_misc_db,asm_misc_dw,asm_misc_XREF,asm_misc_ptr,asm_misc_DATA,asm_misc_FUNCTION,asm_misc_extrn,asm_misc_byte,asm_misc_word,asm_misc_dword,asm_misc_char,asm_misc_DWORD,asm_misc_stdcall,asm_misc_arg,asm_misc_locret,asm_misc_asc,asm_misc_align,asm_misc_WinMain,asm_misc_unk,asm_misc_cookie,asm_misc_off,asm_misc_nullsub,asm_misc_DllEntryPoint,asm_misc_System32,asm_misc_dll,asm_misc_CHUNK,asm_misc_BASS,asm_misc_HMENU,asm_misc_DLL,asm_misc_LPWSTR,asm_misc_void,asm_misc_HRESULT,asm_misc_HDC,asm_misc_LRESULT,asm_misc_HANDLE,asm_misc_HWND,asm_misc_LPSTR,asm_misc_int,asm_misc_HLOCAL,asm_misc_FARPROC,asm_misc_ATOM,asm_misc_HMODULE,asm_misc_WPARAM,asm_misc_HGLOBAL,asm_misc_entry,asm_misc_rva,asm_misc_COLLAPSED,asm_misc_config,asm_misc_exe,asm_misc_Software,asm_misc_CurrentVersion,asm_misc___imp_,asm_misc_INT_PTR,asm_misc_UINT_PTR,asm_misc_---Seperator,asm_misc_PCCTL_CONTEXT,asm_misc___IMPORT_,asm_misc_INTERNET_STATUS_CALLBACK,asm_misc_.rdata:,asm_misc_.data:,asm_misc_.text:,asm_misc_case,asm_misc_installdir,asm_misc_market,asm_misc_microsoft,asm_misc_policies,asm_misc_proc,asm_misc_scrollwindow,asm_misc_search,asm_misc_trap,asm_misc_visualc,asm_misc____security_cookie,asm_misc_assume,asm_misc_callvirtualalloc,asm_misc_exportedentry,asm_misc_hardware,asm_misc_hkey_current_user,asm_misc_hkey_local_machine,asm_misc_sp-analysisfailed,asm_misc_unableto
3,3,1158,9,3,649,3,16,6,17,1,247,38,477,592,987626,82,1305,653,707,249,75,108,163,775,86,40,87,247,6,4,268,183,193,10,98,5,0,0,18,10,0,3,5,6,136,0,0,1,14,3,10,140,0,1,1,5,0,0,0,83,246,0,0,0,0,1,0,0,238,0,6,0,107,55,119,0,0,0,6,0,137,0,0,11,3,0,4,0,0,0,0,0,0,0
4,4,211,0,10,429,0,16,9,20,0,3,0,106,42725,27302,4280,133,477,1567,0,101,106,44,365,0,46,99,0,14,0,121,0,3,0,2,0,0,0,10,0,0,0,0,1,17,6,0,0,17,2,17,40,6,2,0,8,0,0,0,0,3,0,0,0,0,0,0,0,1769,0,0,0,0,0,0,0,0,0,1,0,23,0,0,11,0,0,14,0,0,0,0,0,0,0
3,3,49,0,4,54,0,5,0,15,0,2,0,22,143,2504,0,129,134,54,0,0,3,0,127,1,12,37,0,0,0,48,0,64,0,0,0,0,0,4,0,0,0,0,3,2,5,4,3,11,10,1,17,2,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,51,0,0,0,0,0,13,0,0,0,1,0,56,0,0,0,0,0,4,0,0,0,0,0,8,0
2,2,8009,21,7,3520,7,2,4,10,0,297,127,2479,3121,4155,340,5787,4360,2527,855,85,506,489,5030,86,10,319,3243,39,16,662,0,9,89,158,2,0,0,48,846,0,0,12,0,2857,15,0,0,4,2,0,1080,0,1,0,6,0,0,4,231,12,1,0,0,0,525,0,0,2985,0,14,0,0,209,2260,153,0,0,1,0,780,0,25,0,0,39,4,0,4,0,0,0,48,0
3,3,39,12,4,36,4,3,0,15,0,2,0,17,165,1590,39,184,111,87,0,39,3,78,147,0,12,33,0,0,0,72,0,61,0,12,0,0,0,20,0,0,0,4,0,2,0,3,2,11,9,0,6,2,0,0,3,1,1,0,51,2,0,0,0,0,0,0,0,51,0,8,0,50,0,14,0,0,0,1,0,59,0,0,0,0,0,4,0,0,0,0,0,18,0
3,3,30,12,4,46,4,3,0,11,0,3,0,14,168,784424,40,293,135,104,2,39,1,78,173,0,13,33,0,0,0,76,0,66,0,12,2,0,0,20,0,0,2,4,0,1,0,3,2,9,11,0,11,0,0,2,3,1,3,0,51,3,0,0,0,0,0,0,0,48,0,8,0,50,0,9,0,0,0,1,0,174,0,0,0,0,0,4,0,0,0,0,0,166,0
3,3,549,18,6,1450,6,14,5,26,0,18,1,197,2860,6931,109,497,301,192,20,93,78,216,1525,0,33,81,72,0,0,81,27,6,0,27,1,0,0,30,6,0,1,6,6,10,0,10,1,13,10,7,50,2,0,0,5,1,0,0,111,16,0,0,0,0,13,0,0,108,0,12,0,0,111,78,0,0,0,1,0,59,0,0,2,0,0,4,0,0,0,0,0,29,0
3,3,621,15,5,591,5,10,16,26,0,7,0,342,6890,1139,99,508,307,150,6,97,54,194,364,0,37,85,0,46,0,60,20,4,0,15,1,0,0,25,0,0,1,5,1,10,4,2,2,11,25,4,23,0,1,0,5,3,0,0,112,7,0,0,0,0,3,2,2,15,0,10,0,110,0,67,0,0,0,1,0,47,0,0,0,0,0,4,0,0,0,0,0,0,0
3,3,37,12,4,33,4,8,0,14,0,2,0,17,169,1085,42,162,95,86,0,39,1,78,133,0,12,38,0,0,0,61,0,63,0,12,0,0,0,20,0,0,0,4,0,3,5,6,3,8,9,0,18,1,0,0,3,2,2,0,51,2,0,0,0,0,0,0,0,40,0,8,0,50,0,6,0,0,0,1,0,53,0,0,0,0,0,4,0,0,0,0,0,7,0
3,3,1063,15,5,455,5,2,9,4,0,30,74,559,912,2950,109,1381,612,775,29,80,79,176,691,34,8,21,508,76,2,301,0,239,48,581,0,32,0,28,3,0,0,5,0,454,0,0,0,2,0,1,74,0,1,0,2,0,0,170,451,29,1,0,0,0,23,0,0,369,0,10,0,715,4,41,7,0,0,1,0,275,0,0,0,0,26,4,0,170,0,0,0,7,0
3,3,1231,24,8,1796,8,17,8,43,0,313,3,357,932,8508,144,1591,944,954,315,124,194,411,941,179,89,143,329,4,106,430,2,178,58,162,3,0,0,87,14,0,1,10,16,161,5,0,1,34,5,54,197,0,1,0,5,0,0,0,154,312,1,3,0,2,5,0,0,140,0,16,0,323,85,7,0,0,0,11,0,175,0,0,11,0,23,4,0,0,0,0,0,0,4
3,3,536,9,3,198,3,15,6,21,1,208,15,208,540,2072098,88,862,303,544,208,81,113,174,571,86,42,94,139,2,4,199,158,166,10,82,1,0,0,18,7,0,2,5,6,119,0,0,1,15,4,10,158,0,1,1,4,0,0,0,89,208,0,0,0,0,3,0,0,141,0,6,0,115,53,104,0,0,0,6,0,114,0,0,11,3,0,4,0,0,0,0,0,0,0
6,6,366,0,8,497,0,11,1,13,0,4,14,157,54189,22760,4046,369,1226,1740,1,68,237,129,890,0,26,65,24,7,0,2988,0,12,0,40,2,0,0,8,0,0,0,0,3,9,0,0,0,7,2,11,26,6,2,0,9,0,0,0,0,4,0,0,0,0,0,0,0,2693,0,0,0,4,0,0,0,0,0,1,0,26,0,0,5,0,0,12,0,0,0,0,0,0,0
3,3,1145,6,2,744,2,15,7,23,0,349,6,503,92442,78905,115,1542,605,954,349,74,310,232,794,93,45,93,430,8,81,420,270,168,10,103,15,0,0,13,11,0,0,4,2,167,0,0,1,22,1,6,232,0,1,1,5,0,0,0,80,349,0,0,0,0,1,0,0,343,0,4,0,189,122,212,47,0,0,79,0,165,0,0,11,76,0,4,0,0,0,0,0,48,2
3,3,30521,36,8,12699,8,95,28,137,10,760,5,11186,4034,20682,504,17981,15052,3792,2201,446,1817,1440,15406,512,374,964,8940,136,42,1347,0,168,344,1628,8,6,0,213,2166,0,1,25,59,69,103,8,5,59,95,121,3103,5,1,5,18,12,7,89,613,38,1,43,128,37,95,16,7,7279,0,16,2,0,288,2828,195,0,0,188,47,2439,0,13,0,0,344,6,0,87,0,0,0,23,4
3,3,856,18,6,823,6,29,11,63,1,282,15,363,801,2226842,211,1351,632,886,282,178,166,513,1025,85,75,190,341,2,5,338,359,156,10,103,17,0,0,41,7,0,3,8,5,147,1,4,2,35,31,13,197,2,1,0,9,2,6,0,193,282,0,0,0,0,1,1,1,228,0,12,0,210,121,96,47,0,0,81,0,165,0,0,11,78,0,4,0,0,0,0,0,48,2
3,3,126,12,4,36,4,10,0,11,0,2,0,9,174,1037,39,187,96,100,0,39,1,78,136,0,16,38,0,0,0,58,0,54,0,12,0,0,0,20,0,0,0,4,0,2,5,6,3,11,9,0,19,2,0,1,2,2,2,0,51,2,0,0,0,0,0,0,0,65,0,6,0,50,0,20,0,0,0,1,0,57,0,0,0,0,0,4,0,0,0,0,0,25,0
3,3,170,6,2,715,2,6,1,3,0,0,0,71,67,413796,24,209,481,74,0,23,66,46,376,0,11,23,8,0,0,72,0,2,0,6,0,0,0,10,0,0,0,2,1,3,0,1,1,7,1,3,10,1,0,0,1,1,1,0,29,0,0,0,0,0,0,0,0,58,0,4,0,29,0,3,0,0,0,1,0,60,0,0,0,0,0,4,0,0,0,0,0,1,0
3,3,2054,6,2,1196,2,15,7,23,1,334,31,896,88274,80845,111,2132,1034,1072,334,80,443,343,1263,92,48,103,648,10,82,530,500,197,10,133,6,0,0,13,11,0,0,4,6,185,0,0,1,21,1,10,267,0,1,1,5,0,0,0,86,334,0,0,0,0,1,0,0,543,0,4,0,195,125,386,55,0,0,79,0,224,0,0,6,76,0,6,0,0,0,0,0,48,2
3,3,14,12,4,13,4,9,0,16,0,2,0,7,176,1064,56,148,61,89,0,39,1,78,102,0,14,34,26,0,0,60,0,30,0,12,0,0,0,22,0,0,0,4,0,1,0,2,2,11,13,0,7,4,0,0,2,2,0,0,51,2,0,0,0,0,0,2,1,34,0,6,0,50,0,0,0,0,0,1,0,42,3,0,0,0,0,4,0,0,0,0,0,20,0
3,3,27,12,4,26,4,3,0,14,0,2,0,16,167,784336,39,300,107,110,0,39,3,78,140,0,13,33,4,0,0,74,0,75,0,12,0,0,0,20,0,0,0,4,0,2,0,3,2,11,9,0,7,2,0,0,3,1,1,0,51,2,0,0,0,0,0,0,0,53,0,8,0,49,0,12,0,0,0,1,0,170,0,0,0,0,0,4,0,0,0,0,0,165,0
5,6,3291,15,5,898,5,4,3,15,0,4,0,1833,158,1309498,71,1893,448,291,5,71,411,144,4557,12,7,31,425,32,28,82,0,23,0,259,0,0,0,26,3,0,1,5,0,30,0,2,0,4,11,1,23,0,1,0,4,0,0,0,86,3,0,0,0,0,2,0,0,722,0,10,0,83,1,855,0,0,0,1,0,182,0,0,0,0,0,6,0,0,0,0,0,0,0
4,4,861,15,5,481,5,25,6,33,0,247,15,347,111515,19083,240,1229,559,714,247,151,207,392,1004,90,60,164,223,2,7,319,252,196,10,113,3,0,0,28,7,0,1,7,4,163,0,1,1,24,13,16,153,0,1,1,7,0,2,0,165,247,0,0,0,0,1,2,2,314,0,10,0,189,58,81,0,0,0,6,0,128,0,0,11,3,0,6,0,0,0,0,0,0,2
3,3,30,12,4,41,4,6,0,13,0,2,0,13,168,1073,39,159,194,100,0,39,1,78,232,1,11,33,0,0,0,70,0,53,0,12,0,0,0,20,0,0,0,4,0,2,0,3,3,8,10,1,5,0,0,2,3,2,3,0,51,2,0,0,0,0,0,1,1,42,0,8,0,50,0,11,0,0,0,1,0,49,0,0,0,0,0,4,0,0,0,0,0,5,0
3,3,5246,15,5,3049,5,0,0,0,0,7,35,2473,89,64136,53,2782,3178,133,5,52,358,162,2850,5,0,0,960,54,0,69,0,22,0,15,0,0,3,35,0,0,0,5,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,67,7,0,6,0,1,5,0,0,723,0,10,0,62,809,0,5,0,0,3,0,427,0,0,0,0,0,4,0,0,0,0,0,1,0
5,5,929,0,4,223,0,41,1,12,1,85,0,228,56,504274,16,927,1062,194,247,36,164,30,1233,12,39,37,632,4,0,24,0,450,0,8,0,0,0,4,246,0,0,0,0,2,0,0,1,5,36,9,364,5,1,0,6,8,0,0,0,3,0,0,0,0,38,0,0,407,0,0,0,0,0,609,0,0,0,1,0,457,0,0,0,0,0,6,0,0,0,0,0,131,0
4,4,14,0,4,0,0,6,1,15,0,2,0,6,129,2383,2,122,10,63,0,0,1,4,5,0,13,45,0,2,0,34,0,8,0,3,0,0,0,4,0,0,0,0,0,1,2,2,0,9,17,4,14,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,64,0,0,0,1,0,42,0,0,0,1,0,56,0,0,0,0,0,5,0,0,0,0,0,42,0
3,3,41,12,4,41,4,12,0,15,0,2,0,19,64,2825,39,220,126,128,0,41,4,78,160,0,13,39,0,0,0,117,0,70,0,12,0,0,0,20,0,0,1,4,0,1,5,4,1,10,12,1,18,3,0,0,2,0,1,0,51,2,0,0,0,0,0,3,1,95,0,6,0,50,0,35,0,0,0,1,0,75,0,0,0,0,0,5,0,0,0,0,0,63,0
5,5,268,0,5,282,0,0,0,0,0,7,0,123,22217,14809,10,215,122,4209,5,0,38,6,151,0,0,0,53,0,0,43,0,9,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,44,0,0,0,0,0,7,5,0,0,0,0,2,0
4,4,2393,0,4,344,0,15,10,35,0,643,13,973,899,880576,10,1955,877,870,643,114,352,35,931,294,56,136,181,35,108,403,1,224,10,205,4,0,0,9,13,0,1,4,3,257,0,0,1,21,10,8,251,2,1,1,7,0,4,0,0,643,0,0,0,0,1,0,0,648,0,0,0,176,58,933,36,0,0,17,0,157,0,0,11,14,0,4,0,0,0,0,0,0,2
3,3,704,12,6,561,6,0,2,17,0,9,1,409,20899,250784,42,326,107,151,6,90,2,0,352,0,21,47,9,2,0,52,0,3,0,3,0,0,0,12,0,0,0,18,4,15,13,1,0,8,0,5,6,0,0,0,1,0,0,0,12,9,0,0,0,0,7,0,0,91,0,6,0,2,3,169,0,0,0,1,0,17,0,0,0,0,0,7,1,0,0,0,0,1,0
3,3,493,9,3,316,3,12,7,20,0,239,0,205,525,2059457,98,871,266,603,239,73,147,205,417,57,37,74,235,0,5,222,157,105,11,50,25,0,0,18,7,0,0,5,3,17,0,0,0,18,2,6,70,0,1,0,7,0,1,0,82,239,0,0,0,0,1,0,0,138,0,6,0,85,118,37,47,0,0,78,0,126,0,0,11,75,0,4,0,0,0,0,0,48,2
3,3,399,21,7,509,7,12,6,30,0,7,0,222,64871,1652,113,383,289,156,6,103,50,239,307,0,26,91,0,29,0,69,32,4,0,18,1,0,0,35,0,0,1,7,7,12,7,3,2,8,25,5,22,0,1,0,6,2,0,0,114,7,0,0,0,0,4,0,0,45,0,14,0,113,0,30,0,0,0,1,0,37,0,0,0,0,0,4,0,0,0,0,0,1,0
3,3,204,30,10,435,10,16,14,50,4,5,1,75,1037,23202,171,358,212,256,6,167,53,370,296,0,73,158,45,0,0,99,0,5,0,57,0,5,0,57,6,0,0,10,22,25,5,2,0,32,24,1,43,4,0,0,7,0,4,12,225,3,0,0,0,0,0,0,0,63,0,20,0,223,0,54,0,0,0,1,0,31,0,3,2,0,0,4,0,12,0,0,0,14,0
3,3,2162,12,4,562,4,2,8,13,0,20,15,1034,257,3276,81,1340,567,331,17,62,105,151,782,14,27,37,360,20,2,185,0,53,9,127,0,5,0,33,0,0,0,16,1,25,0,0,0,5,1,1,47,0,1,0,10,0,0,39,160,20,1,0,0,0,16,0,0,549,0,8,0,162,0,150,28,0,0,1,0,139,0,0,0,0,9,4,0,39,0,0,0,2,0
3,3,2974,21,7,1515,7,13,30,9,0,22,16,1440,2258,4469,128,3727,2020,1946,27,125,186,303,3944,81,19,148,1721,35,4,564,0,207,0,357,19,11,0,139,12,0,0,7,0,452,16,0,0,6,3,3,583,0,1,0,6,0,0,1,140,18,0,0,0,1,16,3,3,407,0,14,0,326,172,28,34,0,0,7,0,710,0,0,0,0,0,4,0,1,0,0,0,4,0
3,3,715,21,7,1180,7,9,10,34,0,7,0,365,58082,994,98,542,609,157,6,107,124,296,513,0,36,95,0,27,0,64,81,4,0,18,1,0,0,35,0,0,0,7,8,12,9,3,1,11,19,7,23,0,1,0,5,1,0,0,118,7,0,0,0,0,3,0,0,9,0,14,0,116,0,47,0,0,0,1,0,44,0,0,0,0,0,4,0,0,0,0,0,0,0
3,3,571,9,3,237,3,15,6,20,1,209,12,226,537,1844369,89,870,310,537,211,81,81,177,496,88,45,93,135,2,4,203,145,150,10,86,1,0,0,18,10,0,2,5,6,122,0,0,1,15,4,10,152,0,1,1,4,0,0,0,90,208,0,0,0,0,2,0,0,141,0,6,0,115,53,107,0,0,0,6,0,109,0,0,11,3,0,4,0,0,0,0,0,0,0
3,3,499,15,5,1574,5,6,7,30,0,14,1,211,2886,4453,78,436,264,166,16,76,78,174,1632,0,29,64,70,0,0,52,19,6,0,24,2,0,0,25,6,0,0,5,0,9,0,7,0,15,0,3,27,1,0,0,3,0,2,0,91,12,0,0,0,0,7,0,0,97,0,10,0,0,91,16,0,0,0,1,0,83,0,0,0,0,0,4,0,0,0,0,0,23,0
4,4,21,0,4,0,0,3,0,17,0,2,0,9,127,2387,2,124,13,62,0,0,1,4,3,0,8,41,0,0,0,36,0,8,0,3,0,0,0,4,0,0,0,0,0,0,2,2,0,8,16,3,13,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,65,0,0,0,1,0,43,0,0,0,1,0,52,0,0,0,0,0,5,0,0,0,0,0,41,0
3,3,15,0,4,25,0,6,0,13,0,2,0,7,142,2466,0,84,73,44,0,0,1,0,73,1,10,32,0,0,0,27,0,42,0,0,0,0,0,4,0,0,0,0,0,2,0,3,3,8,10,1,5,0,0,2,3,2,3,0,0,2,0,0,0,0,0,1,1,30,0,0,0,0,0,2,0,0,0,1,0,40,0,0,0,0,0,4,0,0,0,0,0,6,0
3,3,27,12,4,38,4,3,0,14,0,2,0,14,166,784360,39,296,123,105,0,39,3,78,159,0,13,33,0,0,0,76,0,69,0,12,0,0,0,20,0,0,0,4,0,2,0,3,2,11,9,0,7,2,0,0,3,1,1,0,51,2,0,0,0,0,0,0,0,51,0,8,0,50,0,14,0,0,0,1,0,173,0,0,0,0,0,4,0,0,0,0,0,168,0
10,10,347,9,3,1251,3,1,0,3,0,3,0,0,1216,76435,17,416,271,254,0,10,55,43,1549,2,3,6,73,2,2,20,0,45,0,119,0,0,0,15,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,26,3,2,7,0,0,0,0,0,37,0,6,0,0,38,16,0,0,0,1,0,20,0,0,0,0,0,11,0,1,0,0,0,1,0
4,4,154,0,9,287,0,16,9,20,0,5,3,73,13249,9250,1286,92,260,1562,6,100,57,35,252,0,46,99,0,2,0,29,0,3,0,0,0,0,0,9,6,0,0,0,1,17,6,0,0,17,2,17,31,6,2,0,8,0,0,0,0,3,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,1,0,20,0,0,2,0,0,8,0,0,0,0,0,1,0
3,3,2534,12,4,1018,4,11,2,19,0,19,2,1186,713,43143,84,1310,1878,139,44,57,477,166,1598,1,34,53,487,8,0,68,0,37,0,20,0,181,0,27,42,0,0,4,5,4,0,2,1,12,10,1,21,4,0,3,3,1,0,2,77,5,0,0,0,0,1,0,0,524,0,8,0,76,0,338,0,0,0,1,0,138,0,0,4,0,0,4,0,2,0,0,0,25,0
3,4,3417,18,6,850,6,67,8,165,6,13,1,1850,667,1458517,451,2577,337,1028,18,450,428,900,4498,43,136,298,145,27,0,517,39,18,0,368,1,0,0,30,9,0,10,6,0,56,6,7,5,39,58,72,196,1,1,5,4,7,2,0,468,10,0,0,0,0,4,6,5,1169,0,12,0,466,1,814,0,0,0,1,0,238,4,12,0,0,0,4,0,0,0,0,0,0,0
6,6,394,0,5,853,0,4,1,6,0,6,3,178,40205,4814,500,270,576,1609,7,39,142,21,455,0,19,38,24,10,0,347,0,5,0,7,3,0,0,5,6,0,0,0,0,8,0,0,0,3,1,2,10,6,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,730,0,0,0,4,0,0,0,0,0,1,0,28,0,0,4,0,0,8,0,0,0,0,0,1,0
3,3,28,12,4,40,4,3,0,14,0,2,0,13,165,784346,40,293,117,103,0,39,3,78,154,0,13,33,0,0,0,71,0,59,0,12,0,0,0,20,0,0,0,4,0,2,0,3,2,11,9,0,7,2,0,0,3,1,1,0,51,2,0,0,0,0,0,0,0,48,0,8,0,50,0,11,0,0,0,1,0,175,0,0,0,0,0,4,0,0,0,0,0,170,0
3,3,139,12,4,31,4,12,0,9,1,2,0,14,174,1071,39,194,108,103,0,39,1,78,147,0,17,34,0,0,0,68,0,63,0,12,0,0,0,20,0,0,0,4,0,1,0,3,3,9,14,4,6,3,0,1,2,2,1,0,51,2,0,0,0,0,0,0,0,70,0,6,0,50,0,22,0,0,0,1,0,52,0,0,0,0,0,4,0,0,0,0,0,17,0
3,3,536,18,6,392,6,34,17,72,0,207,0,208,100720,55783,293,1157,186,870,207,206,504,614,914,61,101,207,95,2,5,265,221,95,10,78,21,0,0,33,7,0,5,8,4,34,0,7,4,47,37,18,110,3,1,1,12,3,7,0,224,207,0,0,0,0,1,1,0,279,0,12,0,225,54,316,0,0,0,3,0,93,0,0,11,0,0,4,0,0,0,0,0,0,2
4,4,6361,20,4,3911,4,29,13,36,0,23,183,2849,1360,18827,145,4333,3304,1301,38,111,837,359,2879,24,79,116,2337,46,87,586,0,495,177,464,2,7,0,69,27,0,0,11,9,13,1,0,3,40,7,7,329,1,1,0,8,3,0,1,185,14,1,3,1,0,1,0,0,1276,0,8,0,665,89,191,76,0,0,5,0,776,0,0,5,0,91,6,0,1,0,0,0,9,4
